Date : 2025-04-27 13:34:14
Directory : c:\Users\gsam9\Desktop\projects\GoTrip\backend
Total : 6673 files,  1737671 codes, 212150 comments, 278537 blanks, all 2228358 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
+------------------+------------+------------+------------+------------+------------+
| JavaScript       |      2,080 |    790,603 |    172,991 |    142,959 |  1,106,553 |
| Python           |      1,962 |    369,560 |     27,039 |     62,813 |    459,412 |
| CSS              |        684 |    310,321 |      3,088 |     63,852 |    377,261 |
| XML              |      1,115 |    109,235 |         48 |      1,108 |    110,391 |
| HTML             |        487 |    106,842 |      7,248 |      4,690 |    118,780 |
| JSON             |         10 |     25,044 |          0 |         10 |     25,054 |
| TypeScript       |        180 |      8,304 |        948 |        404 |      9,656 |
| Markdown         |         72 |      8,033 |         12 |        899 |      8,944 |
| SCSS             |         50 |      5,877 |        369 |      1,417 |      7,663 |
| Less             |         18 |      1,562 |         12 |        290 |      1,864 |
| pip requirements |          2 |      1,494 |          0 |          0 |      1,494 |
| MS SQL           |          2 |        437 |          0 |         13 |        450 |
| YAML             |          3 |        184 |         34 |         18 |        236 |
| PowerShell       |          1 |        108 |        360 |         35 |        503 |
| Batch            |          2 |         40 |          1 |         17 |         58 |
| Properties       |          2 |         14 |          0 |          1 |         15 |
| Ruby             |          2 |          8 |          0 |          8 |         16 |
| reStructuredText |          1 |          5 |          0 |          3 |          8 |
+------------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                                                   | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                                                      |      6,673 |  1,737,671 |    212,150 |    278,537 |  2,228,358 |
| . (Files)                                                                                                                                                                              |          3 |        750 |          0 |          1 |        751 |
| .venv                                                                                                                                                                                  |      4,577 |  1,070,858 |    121,857 |    174,632 |  1,367,347 |
| .venv (Files)                                                                                                                                                                          |          1 |          5 |          0 |          1 |          6 |
| .venv\Lib                                                                                                                                                                              |      4,573 |  1,070,705 |    121,496 |    174,579 |  1,366,780 |
| .venv\Lib\site-packages                                                                                                                                                                |      4,573 |  1,070,705 |    121,496 |    174,579 |  1,366,780 |
| .venv\Lib\site-packages (Files)                                                                                                                                                        |          1 |        227 |         13 |         77 |        317 |
| .venv\Lib\site-packages\PIL                                                                                                                                                            |        102 |     24,792 |      3,507 |      5,626 |     33,925 |
| .venv\Lib\site-packages\PyJWT-2.10.1.dist-info                                                                                                                                         |          1 |          5 |          0 |          3 |          8 |
| .venv\Lib\site-packages\adminlte3                                                                                                                                                      |      1,870 |    638,242 |     85,841 |     97,864 |    821,947 |
| .venv\Lib\site-packages\adminlte3 (Files)                                                                                                                                              |          7 |         13 |          4 |         15 |         32 |
| .venv\Lib\site-packages\adminlte3\migrations                                                                                                                                           |          1 |          0 |          0 |          1 |          1 |
| .venv\Lib\site-packages\adminlte3\static                                                                                                                                               |      1,846 |    637,653 |     85,798 |     97,780 |    821,231 |
| .venv\Lib\site-packages\adminlte3\static\admin-lte                                                                                                                                     |      1,846 |    637,653 |     85,798 |     97,780 |    821,231 |
| .venv\Lib\site-packages\adminlte3\static\admin-lte (Files)                                                                                                                             |          9 |     16,304 |        447 |        178 |     16,929 |
| .venv\Lib\site-packages\adminlte3\static\admin-lte\.github                                                                                                                             |          3 |         65 |          0 |         22 |         87 |
| .venv\Lib\site-packages\adminlte3\static\admin-lte\.github\ISSUE_TEMPLATE                                                                                                              |          3 |         65 |          0 |         22 |         87 |
| .venv\Lib\site-packages\adminlte3\static\admin-lte\dist                                                                                                                                |         18 |     53,365 |        552 |     10,681 |     64,598 |
| .venv\Lib\site-packages\adminlte3\static\admin-lte\dist\css                                                                                                                            |         12 |     51,193 |        124 |     10,286 |     61,603 |
| .venv\Lib\site-packages\adminlte3\static\admin-lte\dist\css (Files)                                                                                                                    |          2 |     25,929 |         31 |      5,148 |     31,108 |
| .venv\Lib\site-packages\adminlte3\static\admin-lte\dist\css\alt                                                                                                                        |         10 |     25,264 |         93 |      5,138 |     30,495 |
| .venv\Lib\site-packages\adminlte3\static\admin-lte\dist\js                                                                                                                             |          6 |      2,172 |        428 |        395 |      2,995 |
| .venv\Lib\site-packages\adminlte3\static\admin-lte\dist\js (Files)                                                                                                                     |          3 |      1,734 |        235 |        352 |      2,321 |
| .venv\Lib\site-packages\adminlte3\static\admin-lte\dist\js\pages                                                                                                                       |          3 |        438 |        193 |         43 |        674 |
| .venv\Lib\site-packages\adminlte3\static\admin-lte\docs                                                                                                                                |        103 |    110,224 |     12,200 |     22,983 |    145,407 |
| .venv\Lib\site-packages\adminlte3\static\admin-lte\docs (Files)                                                                                                                        |         11 |        583 |         21 |        100 |        704 |
| .venv\Lib\site-packages\adminlte3\static\admin-lte\docs\_includes                                                                                                                      |          5 |         91 |         14 |         13 |        118 |
| .venv\Lib\site-packages\adminlte3\static\admin-lte\docs\_layouts                                                                                                                       |          4 |         70 |          0 |         20 |         90 |
| .venv\Lib\site-packages\adminlte3\static\admin-lte\docs\assets                                                                                                                         |         64 |    106,158 |     12,163 |     22,575 |    140,896 |
| .venv\Lib\site-packages\adminlte3\static\admin-lte\docs\assets\css                                                                                                                     |         14 |     51,335 |        124 |     10,289 |     61,748 |
| .venv\Lib\site-packages\adminlte3\static\admin-lte\docs\assets\css (Files)                                                                                                             |          4 |     26,071 |         31 |      5,151 |     31,253 |
